id;Latex;English 1;English 2;English 3
150;{\int_{{\zeta}}^{{\eta}} g(y) d a};The integral from zeta to eta of g of y with respect to a.;Integrate g of y from zeta to eta with respect to a.;The definite integral of g of y, with respect to a, from zeta to eta.
151; z^2 + \zeta^2 = c^2;Z squared plus zeta squared equals c squared.;The square of z plus the square of zeta equals the square of c.;Z to the power of two plus zeta to the power of two equals c to the power of two.
152; \delta^2 + z^2 = z^2;Delta squared plus z squared equals z squared.;The square of delta plus the square of z equals the square of z.;Delta to the power of two plus z to the power of two equals z to the power of two.
153; \delta^2 + \eta^2 = y^2;Delta squared plus eta squared equals y squared.;The square of delta plus the square of eta equals the square of y.;Delta to the power of two plus eta to the power of two equals y to the power of two.
154; x^2 + z^2 = a^2;X squared plus z squared equals a squared.;The square of x plus the square of z equals the square of a.;X to the power of two plus z to the power of two equals a to the power of two.
155; \zeta^2 + a^2 = x^2;Zeta squared plus a squared equals x squared.;The square of zeta plus the square of a equals the square of x.;Zeta to the power of two plus a to the power of two equals x to the power of two.
156; c^2 + \zeta^2 = a^2;C squared plus zeta squared equals a squared.;The square of c plus the square of zeta equals the square of a.;C to the power of two plus zeta to the power of two equals a to the power of two.
157; \alpha^2 + \alpha^2 = \alpha^2;Alpha squared plus alpha squared equals alpha squared.;The square of alpha plus the square of alpha equals the square of alpha.;Alpha to the power of two plus alpha to the power of two equals alpha to the power of two.
158; a^2 + \alpha^2 = \alpha^2;A squared plus alpha squared equals alpha squared.;The square of a plus the square of alpha equals the square of alpha.;A to the power of two plus alpha to the power of two equals alpha to the power of two.
159; \alpha^2 + b^2 = \gamma^2;Alpha squared plus b squared equals gamma squared.;The square of alpha plus the square of b equals the square of gamma.;Alpha to the power of two plus b to the power of two equals gamma to the power of two.
160; \zeta^2 + a^2 = a^2;Zeta squared plus a squared equals a squared.;The square of zeta plus the square of a equals the square of a.;Zeta to the power of two plus a to the power of two equals a to the power of two.
161; y^2 + \epsilon^2 = \delta^2;Y squared plus epsilon squared equals delta squared.;The square of y plus the square of epsilon equals the square of delta.;Y to the power of two plus epsilon to the power of two equals delta to the power of two.
162; a^2 + y^2 = \delta^2;A squared plus y squared equals delta squared.;The square of a plus the square of y equals the square of delta.;A to the power of two plus y to the power of two equals delta to the power of two.
163; \eta^2 + \alpha^2 = \gamma^2;Eta squared plus alpha squared equals gamma squared.;The square of eta plus the square of alpha equals the square of gamma.;Eta to the power of two plus alpha to the power of two equals gamma to the power of two.
164; b^2 + \delta^2 = \beta^2;B squared plus delta squared equals beta squared.;The square of b plus the square of delta equals the square of beta.;B to the power of two plus delta to the power of two equals beta to the power of two.
165; \delta^2 + \delta^2 = \beta^2;Delta squared plus delta squared equals beta squared.;The square of delta plus the square of delta equals the square of beta.;Delta to the power of two plus delta to the power of two equals beta to the power of two.
166; y^2 + z^2 = y^2;Y squared plus z squared equals y squared.;The square of y plus the square of z equals the square of y.;Y to the power of two plus z to the power of two equals y to the power of two.
167; \eta^2 + z^2 = z^2;Eta squared plus z squared equals z squared.;The square of eta plus the square of z equals the square of z.;Eta to the power of two plus z to the power of two equals z to the power of two.
168; \delta^2 + c^2 = \epsilon^2;Delta squared plus c squared equals epsilon squared.;The square of delta plus the square of c equals the square of epsilon.;Delta to the power of two plus c to the power of two equals epsilon to the power of two.
169; \zeta^2 + \delta^2 = y^2;Zeta squared plus delta squared equals y squared.;The square of zeta plus the square of delta equals the square of y.;Zeta to the power of two plus delta to the power of two equals y to the power of two.
170; z^2 + \beta^2 = c^2;Z squared plus beta squared equals c squared.;The square of z plus the square of beta equals the square of c.;Z to the power of two plus beta to the power of two equals c to the power of two.
171;e^{x\pi} + 63 = 0;E to the power of x pi, plus 63, equals zero.;Exponential of x pi, plus 63, is zero.;E raised to the x pi, plus 63, equals zero.
172;e^{\alpha\pi} + 984 = 0;E to the power of alpha pi, plus 984, equals zero.;Exponential of alpha pi, plus 984, is zero.;E raised to the alpha pi, plus 984, equals zero.
173;e^{\zeta\pi} + 290 = 0;E to the power of zeta pi, plus 290, equals zero.;Exponential of zeta pi, plus 290, is zero.;E raised to the zeta pi, plus 290, equals zero.
174;e^{c\pi} + 292 = 0;E to the power of c pi, plus 292, equals zero.;Exponential of c pi, plus 292, is zero.;E raised to the c pi, plus 292, equals zero.
175;e^{a\pi} + 681 = 0;E to the power of a pi, plus 681, equals zero.;Exponential of a pi, plus 681, is zero.;E raised to the a pi, plus 681, equals zero.
176;e^{\epsilon\pi} + 333 = 0;E to the power of epsilon pi, plus 333, equals zero.;Exponential of epsilon pi, plus 333, is zero.;E raised to the epsilon pi, plus 333, equals zero.
177;e^{y\pi} + 151 = 0;E to the power of y pi, plus 151, equals zero.;Exponential of y pi, plus 151, is zero.;E raised to the y pi, plus 151, equals zero.
178;e^{a\pi} + 596 = 0;E to the power of a pi, plus 596, equals zero.;Exponential of a pi, plus 596, is zero.;E raised to the a pi, plus 596, equals zero.
179;e^{x\pi} + 143 = 0;E to the power of x pi, plus 143, equals zero.;Exponential of x pi, plus 143, is zero.;E raised to the x pi, plus 143, equals zero.
180;e^{z\pi} + 575 = 0;E to the power of z pi, plus 575, equals zero.;Exponential of z pi, plus 575, is zero.;E raised to the z pi, plus 575, equals zero.
181;e^{\alpha\pi} + 396 = 0;E to the power of alpha pi, plus 396, equals zero.;Exponential of alpha pi, plus 396, is zero.;E raised to the alpha pi, plus 396, equals zero.
182;e^{\epsilon\pi} + 475 = 0;E to the power of epsilon pi, plus 475, equals zero.;Exponential of epsilon pi, plus 475, is zero.;E raised to the epsilon pi, plus 475, equals zero.
183;e^{\epsilon\pi} + 674 = 0;E to the power of epsilon pi, plus 674, equals zero.;Exponential of epsilon pi, plus 674, is zero.;E raised to the epsilon pi, plus 674, equals zero.
184;e^{b\pi} + 1690 = 0;E to the power of b pi, plus 126, equals zero.;Exponential of b pi, plus 126, is zero.;E raised to the b pi, plus 126, equals zero.
185;e^{\eta\pi} + 380 = 0;E to the power of eta pi, plus 380, equals zero.;Exponential of eta pi, plus 380, is zero.;E raised to the eta pi, plus 380, equals zero.
186;e^{\alpha\pi} + 65 = 0;E to the power of alpha pi, plus 65, equals zero.;Exponential of alpha pi, plus 65, is zero.;E raised to the alpha pi, plus 65, equals zero.
187;e^{\delta\pi} + 634 = 0;E to the power of delta pi, plus 634, equals zero.;Exponential of delta pi, plus 634, is zero.;E raised to the delta pi, plus 634, equals zero.
188;e^{x\pi} + 822 = 0;E to the power of x pi, plus 822, equals zero.;Exponential of x pi, plus 822, is zero.;E raised to the x pi, plus 822, equals zero.
189;e^{a\pi} + 577 = 0;E to the power of a pi, plus 577, equals zero.;Exponential of a pi, plus 577, is zero.;E raised to the a pi, plus 577, equals zero.
190;e^{c\pi} + 815 = 0;E to the power of c pi, plus 815, equals zero.;Exponential of c pi, plus 815, is zero.;E raised to the c pi, plus 815, equals zero.
191;\frac{d}{d \eta} f(\eta) = {f\_prime}(x);The derivative of f of eta with respect to eta equals f prime of x.;Differentiating f of eta with respect to eta gives us f prime of x.;The rate of change of f of eta with respect to eta is equal to f prime evaluated at x.
192;\frac{d}{d a} g(z) = {g\_prime}(z);The derivative of g of z with respect to a equals g prime of z.;Differentiating g of z with respect to a gives us g prime of z.;The rate of change of g of z with respect to a is equal to g prime evaluated at z.
193;\frac{d}{d y} f(y) = {f\_prime}(a);The derivative of f of y with respect to y equals f prime of a.;Differentiating f of y with respect to y gives us f prime of a.;The rate of change of f of y with respect to y is equal to f prime evaluated at a.
194;\frac{d}{d a} g(z) = {g\_prime}(c);The derivative of g of z with respect to a equals g prime of c.;Differentiating g of z with respect to a gives us g prime of c.;The rate of change of g of z with respect to a is equal to g prime evaluated at c.
195;\frac{d}{d \zeta} \omega(\zeta) = {\omega\_prime}(z);The derivative of omega of zeta with respect to zeta equals omega prime of z.;Differentiating omega of zeta with respect to zeta gives us omega prime of z.;The rate of change of omega of zeta with respect to zeta is equal to omega prime evaluated at z.
196;\frac{d}{d y} h(a) = {h\_prime}(z);The derivative of h of a with respect to y equals h prime of z.;Differentiating h of a with respect to y gives us h prime of z.;The rate of change of h of a with respect to y is equal to h prime evaluated at z.
197;\frac{d}{d \zeta} \phi(\zeta) = {\phi\_prime}(c);The derivative of phi of zeta with respect to zeta equals phi prime of c.;Differentiating phi of zeta with respect to zeta gives us phi prime of c.;The rate of change of phi of zeta with respect to zeta is equal to phi prime evaluated at c.
198;\frac{d}{d c} g(\zeta) = {g\_prime}(\zeta);The derivative of g of zeta with respect to c equals g prime of zeta.;Differentiating g of zeta with respect to c gives us g prime of zeta.;The rate of change of g of zeta with respect to c is equal to g prime evaluated at zeta.
199;\frac{d}{d y} h(\eta) = {h\_prime}(\beta);The derivative of h of eta with respect to y equals h prime of beta.;Differentiating h of eta with respect to y gives us h prime of beta.;The rate of change of h of eta with respect to y is equal to h prime evaluated at beta.
